"draw","year","prev_est"
"1",1970,0
"1",1971,0
"1",1972,0
"1",1973,0
"1",1974,0
"1",1975,0
"1",1976,2.60446715469239e-05
"1",1977,7.10816041611268e-05
"1",1978,0.000118674448056864
"1",1979,0.000209121851665772
"1",1980,0.000350166164336437
"1",1981,0.000530012507825695
"1",1982,0.000948476096094572
"1",1983,0.00170211587599571
"1",1984,0.00288868276342922
"1",1985,0.0045009319830899
"1",1986,0.00835986235212329
"1",1987,0.0139322062269636
"1",1988,0.0230552199604913
"1",1989,0.03639042976461
"1",1990,0.0619315380806492
"1",1991,0.0871346256061995
"1",1992,0.133565563332711
"1",1993,0.179641683619325
"1",1994,0.196211357266418
"1",1995,0.26292956580383
"1",1996,0.279112355043332
"1",1997,0.307183872994299
"1",1998,0.332694863811829
"1",1999,0.344714629374155
"1",2000,0.319770064484825
"1",2001,0.322200559032625
"1",2002,0.316853448810725
"1",2003,0.318592657662637
"1",2004,0.321547039247817
"1",2005,0.315839401088463
"1",2006,0.290519227398594
"1",2007,0.295987424200956
"1",2008,0.285831639738157
"1",2009,0.272287830984966
"1",2010,0.274220293925035
"1",2011,0.270476840420135
"1",2012,0.264164951335439
"1",2013,0.254122535012034
"1",2014,0.255473305333097
"1",2015,0.243252309676606
"1",2016,0.234259726346387
"1",2017,0.22957458336945
"1",2018,0.219354104653596
"1",2019,0.20918202998407
"1",2020,0.199238931819072
"1",2021,0.188194414363462
"1",2022,0.179657371855156
"1",2023,0.168670386502559
"1",2024,0.159219343966662
"1",2025,0.149690698493251
"1",2026,0.1406137107144
"1",2027,0.131978497658764
"1",2028,0.123409322913756
"1",2029,0.115018492262274
"1",2030,0.106824794049631
"10",1970,0
"10",1971,0
"10",1972,0
"10",1973,0
"10",1974,0
"10",1975,0
"10",1976,2.40289089818208e-05
"10",1977,6.30242073606938e-05
"10",1978,0.000102135047392563
"10",1979,0.00018988785085057
"10",1980,0.000331912329286537
"10",1981,0.000511880257068724
"10",1982,0.000882107559737186
"10",1983,0.00165033215323572
"10",1984,0.00277921882212274
"10",1985,0.00506270407739866
"10",1986,0.00857854392767575
"10",1987,0.0150210720507249
"10",1988,0.026849910686548
"10",1989,0.043500410065327
"10",1990,0.0712981633446462
"10",1991,0.109308233294333
"10",1992,0.143111678723783
"10",1993,0.207263534866204
"10",1994,0.249034157357041
"10",1995,0.283928466002298
"10",1996,0.325257512722216
"10",1997,0.352175567510069
"10",1998,0.347222320707192
"10",1999,0.348929160234361
"10",2000,0.350327639582011
"10",2001,0.357152506946902
"10",2002,0.344896360806733
"10",2003,0.329868254369606
"10",2004,0.317806057682005
"10",2005,0.330590296660272
"10",2006,0.297617585808045
"10",2007,0.306223018873859
"10",2008,0.293033090856125
"10",2009,0.289126635790721
"10",2010,0.29605404325098
"10",2011,0.283943495610079
"10",2012,0.278387238313086
"10",2013,0.269672695472322
"10",2014,0.260607187047086
"10",2015,0.248602281076002
"10",2016,0.2451447735857
"10",2017,0.240715160202233
"10",2018,0.219524082171457
"10",2019,0.211708049689559
"10",2020,0.199195482402355
"10",2021,0.186575524024305
"10",2022,0.17634165941261
"10",2023,0.16557523247108
"10",2024,0.157459466911296
"10",2025,0.145142468468096
"10",2026,0.135679263582647
"10",2027,0.122664369595496
"10",2028,0.114147171059052
"10",2029,0.106361604115965
"10",2030,0.098444646602509
"100",1970,0
"100",1971,0
"100",1972,0
"100",1973,0
"100",1974,0
"100",1975,0
"100",1976,7.81334484153321e-06
"100",1977,2.20542969143964e-05
"100",1978,3.74847387145803e-05
"100",1979,7.74624668498843e-05
"100",1980,0.000139219025362562
"100",1981,0.000295014847293749
"100",1982,0.000547755905973229
"100",1983,0.000976789134853537
"100",1984,0.00198427400742899
"100",1985,0.00367827236140823
"100",1986,0.00678875832932671
"100",1987,0.0134809415630568
"100",1988,0.0262027489110588
"100",1989,0.0441589614468042
"100",1990,0.0750870191107554
"100",1991,0.108814044556133
"100",1992,0.163472255682065
"100",1993,0.215507588017355
"100",1994,0.252680373658507
"100",1995,0.290866653439906
"100",1996,0.296427477539692
"100",1997,0.332027627109905
"100",1998,0.356137226374008
"100",1999,0.350721251591968
"100",2000,0.359713393946623
"100",2001,0.350382476314496
"100",2002,0.341110860830084
"100",2003,0.330995094403991
"100",2004,0.313848334572445
"100",2005,0.34151907787842
"100",2006,0.313999587686599
"100",2007,0.312490365366713
"100",2008,0.306045452702993
"100",2009,0.307154585428352
"100",2010,0.29869847172672
"100",2011,0.284885972164161
"100",2012,0.276953511277733
"100",2013,0.265539517373134
"100",2014,0.26484806204
"100",2015,0.245817828791181
"100",2016,0.240647129881857
"100",2017,0.232751875436034
"100",2018,0.221695731837954
"100",2019,0.209360544957279
"100",2020,0.198352895015085
"100",2021,0.186788185237736
"100",2022,0.175374364443696
"100",2023,0.164721870525888
"100",2024,0.154687070786194
"100",2025,0.145931097474638
"100",2026,0.136951133462291
"100",2027,0.128833775841809
"100",2028,0.120989246535204
"100",2029,0.113042406097898
"100",2030,0.105174970566
"101",1970,0
"101",1971,0
"101",1972,0
"101",1973,0
"101",1974,0
"101",1975,0
"101",1976,2.75661193032251e-05
"101",1977,7.41272834841432e-05
"101",1978,0.000127803846615525
"101",1979,0.000229793339039538
"101",1980,0.000391904127692251
"101",1981,0.000682021035978584
"101",1982,0.00119635703367278
"101",1983,0.00208254066252483
"101",1984,0.00360197418868098
"101",1985,0.00610258972134252
"101",1986,0.0113083337511375
"101",1987,0.0208333836136196
"101",1988,0.0327437483262056
"101",1989,0.0561273990669966
"101",1990,0.0813899844353827
