"draw","year","prev_est"
"1",1970,0
"1",1971,0
"1",1972,0
"1",1973,0
"1",1974,0
"1",1975,0
"1",1976,1.96522694461565e-05
"1",1977,5.36360932920989e-05
"1",1978,8.95496791787144e-05
"1",1979,0.000157804031445101
"1",1980,0.00026424910843696
"1",1981,0.000399991455267459
"1",1982,0.000715892738363675
"1",1983,0.00128509612352109
"1",1984,0.0021817424290297
"1",1985,0.0034011152655005
"1",1986,0.00632529727016935
"1",1987,0.0105600630213474
"1",1988,0.0175266202730777
"1",1989,0.0277842632278423
"1",1990,0.0476667711542138
"1",1991,0.0675774149035303
"1",1992,0.1050695654344
"1",1993,0.143170750800943
"1",1994,0.156865212195995
"1",1995,0.21440556423971
"1",1996,0.228134635614497
"1",1997,0.252891874740765
"1",1998,0.276071512109624
"1",1999,0.286881607111633
"1",2000,0.263936912534164
"1",2001,0.266221399726495
"1",2002,0.262465192214195
"1",2003,0.263699640724281
"1",2004,0.265964128664305
"1",2005,0.261164545649141
"1",2006,0.238726113145686
"1",2007,0.243686948471746
"1",2008,0.234344253151164
"1",2009,0.222314798145839
"1",2010,0.224298587444865
"1",2011,0.220749285212736
"1",2012,0.215048140561254
"1",2013,0.205735584662382
"1",2014,0.20667026193414
"1",2015,0.195592652630697
"1",2016,0.187542604837519
"1",2017,0.183131761536527
"1",2018,0.174038083184944
"1",2019,0.165117831593019
"1",2020,0.156541051186496
"1",2021,0.147196828121238
"1",2022,0.139740953415973
"1",2023,0.130566998203141
"1",2024,0.122617455245488
"1",2025,0.114674925429192
"1",2026,0.107165356213342
"1",2027,0.100044760695713
"1",2028,0.0930328007297656
"1",2029,0.0861843277570369
"1",2030,0.079551365672754
"10",1970,0
"10",1971,0
"10",1972,0
"10",1973,0
"10",1974,0
"10",1975,0
"10",1976,1.8131387915295e-05
"10",1977,4.75561031905701e-05
"10",1978,7.70690956008699e-05
"10",1979,0.000143289508797177
"10",1980,0.000250473247080656
"10",1981,0.000386306464454043
"10",1982,0.000665795953419632
"10",1983,0.00124597771061677
"10",1984,0.00209902103117917
"10",1985,0.00382670709667377
"10",1986,0.00649149353538207
"10",1987,0.0113913204616961
"10",1988,0.0204461654642728
"10",1989,0.0332952995453788
"10",1990,0.0550793528593009
"10",1991,0.0854446942949472
"10",1992,0.11284104276027
"10",1993,0.166743001577102
"10",1994,0.202391178259056
"10",1995,0.232819165733829
"10",1996,0.27090425245483
"10",1997,0.294303607617767
"10",1998,0.290475787729556
"10",1999,0.291332372546967
"10",2000,0.292904042829114
"10",2001,0.298853883713449
"10",2002,0.287948015841035
"10",2003,0.274242074258245
"10",2004,0.263609656375454
"10",2005,0.274273600784849
"10",2006,0.24554837760219
"10",2007,0.252898435625836
"10",2008,0.241451925253902
"10",2009,0.237239884768538
"10",2010,0.243413211964606
"10",2011,0.232773349051408
"10",2012,0.227347232353519
"10",2013,0.219269521559817
"10",2014,0.211511670905937
"10",2015,0.200814016209628
"10",2016,0.197277784120489
"10",2017,0.193262156762814
"10",2018,0.174806321465031
"10",2019,0.167818353745238
"10",2020,0.157198118910752
"10",2021,0.146541743635697
"10",2022,0.137726257904819
"10",2023,0.12877848945937
"10",2024,0.121863633450108
"10",2025,0.111670085377598
"10",2026,0.103876738646842
"10",2027,0.093349397797506
"10",2028,0.0864171516296939
"10",2029,0.0800772969078308
"10",2030,0.073745216846036
"100",1970,0
"100",1971,0
"100",1972,0
"100",1973,0
"100",1974,0
"100",1975,0
"100",1976,5.89553927748705e-06
"100",1977,1.66413145736169e-05
"100",1978,2.82844983120443e-05
"100",1979,5.84509394607345e-05
"100",1980,0.000105053225299962
"100",1981,0.000222627942169223
"100",1982,0.000413392195484724
"100",1983,0.000737301233818785
"100",1984,0.00149832815913705
"100",1985,0.00277902684520331
"100",1986,0.00513472239869851
"100",1987,0.0102209453141489
"100",1988,0.0199557448331417
"100",1989,0.0338306160759787
"100",1990,0.0581672165529742
"100",1991,0.0851022199099244
"100",1992,0.130050880267631
"100",1993,0.173952189911844
"100",1994,0.20605871768133
"100",1995,0.239478830098264
"100",1996,0.24468751132194
"100",1997,0.276553613712626
"100",1998,0.298279945414122
"100",1999,0.293342198381756
"100",2000,0.302487549888238
"100",2001,0.293390792908746
"100",2002,0.284596328720064
"100",2003,0.275821263559013
"100",2004,0.259871133207758
"100",2005,0.285177635792055
"100",2006,0.260086440694177
"100",2007,0.259574905654215
"100",2008,0.253917385664947
"100",2009,0.254144935067659
"100",2010,0.246043769172554
"100",2011,0.233522338773622
"100",2012,0.226671268791329
"100",2013,0.21612016434079
"100",2014,0.21502172173787
"100",2015,0.198187756238132
"100",2016,0.193138833125502
"100",2017,0.186102037911636
"100",2018,0.176247182455972
"100",2019,0.165484444821526
"100",2020,0.155965281836458
"100",2021,0.146050243037462
"100",2022,0.136375525085706
"100",2023,0.127388963717431
"100",2024,0.118982432072372
"100",2025,0.111656174356309
"100",2026,0.104222304072731
"100",2027,0.097527706762332
"100",2028,0.0910980336188894
"100",2029,0.0846309588265834
"100",2030,0.078275111689942
"101",1970,0
"101",1971,0
"101",1972,0
"101",1973,0
"101",1974,0
"101",1975,0
"101",1976,2.08002915250179e-05
"101",1977,5.59342485437183e-05
"101",1978,9.64390911437347e-05
"101",1979,0.000173405215195048
"101",1980,0.000295751902458594
"101",1981,0.000514742003931894
"101",1982,0.000903082061422198
"101",1983,0.00157251962994968
"101",1984,0.00272140716410075
"101",1985,0.00461446315313359
"101",1986,0.00856533869429212
"101",1987,0.0158333252765354
"101",1988,0.0249851237129764
"101",1989,0.0431438202039752
"101",1990,0.0630678126879978
"101",1991,0.0928777673121919
"101",1992,0.1282993002575
"101",1993,0.161068037862281
"101",1994,0.190844631869871
"101",1995,0.228666158966743
"101",1996,0.252808850281286
"101",1997,0.252474790098057
"101",1998,0.266308258940052
"101",1999,0.289653434640734
"101",2000,0.263343412473424
"101",2001,0.275171019751626
"101",2002,0.251482999431749
"101",2003,0.251348641553396
"101",2004,0.263304421117209
"101",2005,0.240126990812071
"101",2006,0.242626623961558
"101",2007,0.241971169397164
"101",2008,0.230306491245148
"101",2009,0.233561435177376
"101",2010,0.222029259781812
"101",2011,0.213514291752402
"101",2012,0.20148460417155
"101",2013,0.198416042243536
"101",2014,0.198191997112742
"101",2015,0.179723500099265
"101",2016,0.170721265853215
"101",2017,0.166783907634576
"101",2018,0.156333549519709
"101",2019,0.147142182240079
"101",2020,0.138295654260171
"101",2021,0.129342234894105
"101",2022,0.120971046111652
"101",2023,0.113575291729157
"101",2024,0.106208495818667
"101",2025,0.0999299190764338
"101",2026,0.0930614739139039
